,borough,location_i,objectid,shape_area,shape_length,zone,arcs,type_x,type_y,transform_scale,transform_translate,object_type
99,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,49.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
100,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,50.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
101,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,50.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
102,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,51.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
103,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,51.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
104,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,52.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
105,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,52.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
106,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,53.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
107,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,53.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
108,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,54.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
109,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,54.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
110,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,55.0,Polygon,Topology,3.2045306632868553e-06,-74.25559136315209,GeometryCollection
111,Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,55.0,Polygon,Topology,2.510549268129308e-06,40.496115395170364,GeometryCollection
